sample_id,prompt,model,model_version,date,compiles,try_blocks,has_try_block,total_catches,empty_catches,generic_catches,propagation_violations,has_retry,has_timeout,has_circuit_breaker,has_backoff,recovery_present
dbquery_claude_04,p3,Claude,claude-sonnet-4.6,6/3/26,yes,2,True,0,0,0,0,False,False,False,False,False
dbquery_claude_05,p3,Claude,claude-sonnet-4.6,6/3/26,yes,2,True,0,0,0,0,False,False,False,False,False
dbquery_copilot_01,p3,Copilot,Haiku 4.5,5/29/26,yes,2,True,1,0,0,0,False,False,False,False,False
dbquery_copilot_02,p3,Copilot,Haiku 4.5,6/2/26,yes,1,True,0,0,0,0,False,False,False,False,False
dbquery_copilot_03,p3,Copilot,Haiku 4.5,6/3/26,yes,3,True,1,0,0,0,False,False,False,False,False
dbquery_copilot_04,p3,Copilot,Haiku 4.5,6/3/26,yes,2,True,0,0,0,0,False,False,False,False,False
dbquery_copilot_05,p3,Copilot,Haiku 4.5,6/3/26,yes,2,True,0,0,0,0,False,False,False,False,False
fileio_chatgpt_01,p4,ChatGPT,GPT-5.5 Thinking,5/29/26,yes,0,False,0,0,0,0,False,False,False,False,False
fileio_chatgpt_02,p4,ChatGPT,GPT-5.5 Thinking,6/2/26,yes,0,False,0,0,0,0,False,False,False,False,False
fileio_chatgpt_03,p4,ChatGPT,GPT-5.5 Thinking,6/3/26,yes,0,False,0,0,0,0,False,False,False,False,False
fileio_chatgpt_04,p4,ChatGPT,GPT-5.5 Thinking,6/3/26,yes,0,False,0,0,0,0,False,False,False,False,False
fileio_chatgpt_05,p4,ChatGPT,GPT-5.5 Thinking,6/3/26,yes,0,False,0,0,0,0,False,False,False,False,False
fileio_claude_01,p4,Claude,claude-sonnet-4.6,5/29/26,yes,0,False,0,0,0,0,False,False,False,False,False
fileio_claude_02,p4,Claude,claude-sonnet-4.6,6/2/26,yes,1,True,1,0,0,0,False,False,False,False,False
fileio_claude_03,p4,Claude,claude-sonnet-4.6,6/3/26,yes,0,False,0,0,0,0,False,False,False,False,False
fileio_claude_04,p4,Claude,claude-sonnet-4.6,6/3/26,yes,0,False,0,0,0,0,False,False,False,False,False
fileio_claude_05,p4,Claude,claude-sonnet-4.6,6/3/26,yes,1,True,1,0,0,0,False,False,False,False,False
fileio_copilot_01,p4,Copilot,Haiku 4.5,5/29/26,yes,2,True,1,0,0,0,False,False,False,False,False
fileio_copilot_02,p4,Copilot,Haiku 4.5,6/2/26,yes,0,False,0,0,0,0,False,False,False,False,False
fileio_copilot_03,p4,Copilot,Haiku 4.5,6/3/26,yes,0,False,0,0,0,0,False,False,False,False,False
fileio_copilot_04,p4,Copilot,Haiku 4.5,6/3/26,yes,0,False,0,0,0,0,False,False,False,False,False
fileio_copilot_05,p4,Copilot,Haiku 4.5,6/3/26,yes,0,False,0,0,0,0,False,False,False,False,False
parallel_chatgpt_01,p5,ChatGPT,GPT-5.5 Thinking,5/29/26,yes,1,True,1,0,1,0,False,False,False,False,False
parallel_chatgpt_02,p5,ChatGPT,GPT-5.5 Thinking,6/2/26,yes,1,True,2,0,0,0,False,False,False,False,False
parallel_chatgpt_03,p5,ChatGPT,GPT-5.5 Thinking,6/3/26,yes,1,True,2,0,0,0,False,False,False,False,False
parallel_chatgpt_04,p5,ChatGPT,GPT-5.5 Thinking,6/3/26,yes,1,True,2,0,0,0,False,False,False,False,False
parallel_chatgpt_05,p5,ChatGPT,GPT-5.5 Thinking,6/3/26,yes,1,True,2,0,0,0,False,False,False,False,False
parallel_claude_01,p5,Claude,claude-sonnet-4.6,5/29/26,yes,1,True,2,0,0,0,False,False,False,False,False
parallel_claude_02,p5,Claude,claude-sonnet-4.6,6/2/26,yes,0,False,0,0,0,0,False,False,False,False,False
parallel_claude_03,p5,Claude,claude-sonnet-4.6,6/3/26,yes,1,True,2,0,0,0,False,False,False,False,False
parallel_claude_04,p5,Claude,claude-sonnet-4.6,6/3/26,yes,0,False,0,0,0,0,False,False,False,False,False
parallel_claude_05,p5,Claude,claude-sonnet-4.6,6/3/26,yes,0,False,0,0,0,0,False,False,False,False,False
parallel_copilot_01,p5,Copilot,Haiku 4.5,5/29/26,yes,2,True,1,0,0,0,False,False,False,False,False
parallel_copilot_02,p5,Copilot,Haiku 4.5,6/2/26,yes,1,True,0,0,0,0,False,False,False,False,False
parallel_copilot_03,p5,Copilot,Haiku 4.5,6/3/26,yes,1,True,1,0,0,0,False,False,False,False,False
parallel_copilot_04,p5,Copilot,Haiku 4.5,6/3/26,yes,2,True,2,0,0,0,False,True,False,False,True
parallel_copilot_05,p5,Copilot,Haiku 4.5,6/3/26,yes,1,True,1,0,1,0,False,False,False,False,False
